modelo,Index_A,Index_B,Index_C,Index_D,Index_E,Index_F,RMSE_medio,RMSE_rel_medio
damped_252_095,258927.92152175127,32587.142603362743,14121.265293303197,287152.52151957515,14671.26669826684,4013.7630733970427,101912.31345160936,0.15617080899705785
damped_252_098,246419.14427777915,33997.48422618109,13472.518867012812,276429.23087850364,14429.884205548015,4235.953445424469,98164.03598340818,0.15732815502827882
naive_flat,268503.229811023,31997.530112337827,14744.11692673698,295111.1236220166,14849.469954143924,4101.56926185689,104884.50661468587,0.15987348846091823
ewma_30,294829.6342639123,30858.772047500388,15911.041328220246,295399.77460517327,15246.397816879824,4048.169342087783,109382.29823396228,0.1626820465476551
blend_flat_drift252,234626.70173771968,36427.93205941481,13147.628325493153,268386.1665445284,14265.156358907901,5606.483168494483,95410.01136575975,0.17871720599812746
drift_log_756,263543.6679026189,30568.416495607584,17378.68973332955,297254.8483598279,15338.037897414732,5185.906888137511,104878.26121282269,0.18096288164489813
drift_log_252,283137.82448578114,45016.75997085428,16671.455439196976,329442.8949630615,17884.493466937445,11130.115116744335,117213.92390709593,0.29081789854836676
